"","x"
"310",0.000166631951676734
"311",0.57032967032967
"312",0.0937878787878788
"313",0.000323232323232323
"314",0
"315",0.000533333333333333
"316",0
"317",0.00355077609820432
"318",0.0082197707116591
"319",0.000347725297015358
"320",9.90197049212793e-05
"321",0.0108036391205459
"322",0.00274983718069325
"323",0.031234950120399
"324",0.502257728377909
"325",0.000123327372510329
"326",0.000506842372022301
"327",0.0475375546681879
"328",0.057177548429825
"329",0.627425944841675
"330",0.00230065359477124
"331",0.000396301188903567
"332",0.000961538461538462
"333",0.618012008005337
"334",0
"335",0.0094211123723042
"336",0
"337",0.0146959687205069
"338",0.00877433506992048
"339",0.0117979797979798
"340",0.00691996344170257
"341",0.303159973666886
"342",0.234938357757618
"343",0.0785196524244744
"344",0.00759267530147387
"345",0.0132256309379316
"346",0.00309757356737222
"347",0.0727412271351213
"348",0.135375072688506
"349",0.0194738199638896
"350",0.0282825267713891
"351",0.00648667601683029
"352",0.0905226306576644
"353",0.0181926043108562
"354",0
"355",0.0182637571157495
"356",0.00355077609820432
"357",0.0148307941216125
"358",0.33962409787349
"359",0.0034910977008628
"360",0.004609898234322
"361",0.281289010125295
"362",0.301333547557841
"363",0.03396845228799
"364",0.00487080487080487
"365",0.00813365574851616
"366",0
"367",0.0407388098607284
"368",0.168858747773668
"369",0.00708657253159871
"370",0.0186080392027018
"371",0.0119006751344547
"372",0.0589781925039955
"373",0.00624596166271807
"374",0
"375",0.0462766142802384
"376",0.0082197707116591
"377",0.00877433506992048
"378",0.339315348693605
"379",0.00358178406958895
"380",0.0118961924606933
"381",0.000380493373073752
"382",0.000525320445471738
"383",0.0590319967598218
"384",0.0069248291571754
"385",0.149015582719044
"386",0
"387",0.00114318376679051
"388",0.00154268083647583
"389",0.00766342248448157
"390",0.00640867636184373
"391",0.000196492606965663
"392",0.00118194577823742
"393",0.0141598489616111
"394",0.00158478605388273
"395",0.00867014056136971
"396",0.000347725297015358
"397",0.0117979797979798
"398",0.0034910977008628
"399",0.00358178406958895
"400",0.520769418066715
"401",0.000855066267635742
"402",0.000636971654761363
"403",0.0338400528750826
"404",0.00675384394309527
"405",0.190589490093121
"406",0
"407",0.00192171115845762
"408",0.00220708550553674
"409",0.00512756378189095
"410",0.00740333516584204
"411",8.58369098712446e-05
"412",0.00133495145631068
"413",0.00792079207920792
"414",0.00169822535450454
"415",0.0108611326609775
"416",0
"417",0.00691996344170257
"418",0.004609898234322
"419",0.0118961924606933
"420",0.520574628682737
