"","x"
"319",0
"320",0.161390575310783
"321",0
"322",0.197550547141097
"323",0.362946874892267
"324",0
"325",0.0119695321001088
"326",0
"327",0.141349574865826
"328",0.0240759970770355
"329",0
"330",0
"331",0.19646724743707
"332",0
"333",0.3201225538644
"334",0
"335",0.00374022441346481
"336",0.00112626705043174
"337",0.0639149594644599
"338",0.26708054657749
"339",0.0088609220495698
"340",0.0961089971768749
"341",0
"342",0.086517765781024
"343",0
"344",0.0825697810167333
"345",0.363360568138725
"346",0
"347",0.0310934755740584
"348",0
"349",0.168444238349177
"350",0.309411323584552
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0.0263369752731455
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0.0037584127261603
"371",0
"372",0
"373",0
"374",0.00202101859337106
"375",0.0169910410874266
"376",0
"377",0.0677566155401989
"378",0
"379",0
"380",0.00238237045860631
"381",0.00129668049792531
"382",0.0461465832644872
"383",0.517702596380803
"384",0.29633350075339
"385",0
"386",0.00242199743553213
"387",0
"388",0.000716127184187912
"389",0.0119695321001088
"390",0.0310934755740584
"391",0
"392",0
"393",0.115971515768057
"394",0.0449583569176033
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0.000348523133222968
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0.000396542152430803
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0.0037584127261603
"414",0
"415",0
"416",0
"417",0
"418",0.496383186705767
"419",0.226026577277625
"420",0
"421",0.406554019457245
"422",0
"423",0.00353232073472271
"424",0.0118043844856661
"425",0.0277408541871352
"426",0.0421779548472776
"427",0.0177777777777778
"428",0.417571059431525
"429",0
"430",0.0539046302695231
"431",0
"432",0.00643817458814618
"433",0.141470180305132
"434",0.168328309761187
"435",0
"436",0.115971515768057
"437",0
"438",0.0484346483223361
"439",0
"440",0
"441",0.0102414045354792
"442",0
"443",0.125827045850261
"444",0
"445",0.00227238297227693
"446",0
"447",0.00621234235245687
"448",0.575859505010091
"449",0.0606301718650541
"450",0.026791089704997
"451",0
"452",0.00970988750740083
"453",0
"454",0.0154388187324334
"455",0.0241529171954925
"456",0.309186351706037
"457",0
"458",0.04512007762594
"459",0
"460",0.0484346483223361
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0.000476928579945153
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",9.03832248734635e-05
"496",0
"497",0
"498",0
"499",0
"500",0
"501",0.00202101859337106
"502",0
"503",0.495992179863148
"504",0
"505",0
"506",0
